set term gif size 8000, 8000 font "Times-Roman,90"
set output "chen_traj_img.gif"
set xlabel "x"
set ylabel "y"
set zlabel "z"
set xrange [-40:40]
set yrange [-40:40]
set zrange [0:60]
splot '-' with line
-10.55930004 -10.91318242 24.33214282
-10.55990688 -10.91193892 24.33421739
-10.56051045 -10.91069188 24.33629106
-10.56111075 -10.90944128 24.33836382
-10.5617078 -10.90818713 24.34043566
-10.56230159 -10.90692943 24.34250659
-10.56289211 -10.90566819 24.3445766
-10.56347937 -10.9044034 24.34664569
-10.56406337 -10.90313507 24.34871385
-10.56464412 -10.90186319 24.35078108
-10.5652216 -10.90058778 24.35284738
-10.56579582 -10.89930882 24.35491274
-10.56636679 -10.89802633 24.35697717
-10.56693449 -10.8967403 24.35904065
-10.56749894 -10.89545073 24.36110319
-10.56806013 -10.89415763 24.36316478
-10.56861807 -10.892861 24.36522542
-10.56917275 -10.89156084 24.36728511
-10.56972417 -10.89025715 24.36934383
-10.57027233 -10.88894993 24.3714016
-10.57081724 -10.88763918 24.37345841
-10.5713589 -10.88632491 24.37551424
-10.5718973 -10.88500711 24.37756911
-10.57243245 -10.88368579 24.37962301
-10.57296434 -10.88236095 24.38167592
-10.57349298 -10.88103259 24.38372786
-10.57401837 -10.87970071 24.38577882
-10.57454051 -10.87836532 24.38782879
-10.57505939 -10.87702641 24.38987778
-10.57557503 -10.87568398 24.39192577
-10.57608741 -10.87433805 24.39397276
-10.57659654 -10.8729886 24.39601876
-10.57710242 -10.87163564 24.39806376
-10.57760505 -10.87027918 24.40010775
-10.57810444 -10.8689192 24.40215074
-10.57860057 -10.86755573 24.40419272
-10.57909346 -10.86618875 24.40623368
-10.5795831 -10.86481826 24.40827363
-10.58006949 -10.86344428 24.41031256
-10.58055263 -10.8620668 24.41235046
-10.58103253 -10.86068582 24.41438735
-10.58150918 -10.85930134 24.4164232
-10.58198259 -10.85791337 24.41845802
-10.58245275 -10.8565219 24.4204918
-10.58291967 -10.85512695 24.42252455
-10.58338334 -10.8537285 24.42455626
-10.58384377 -10.85232656 24.42658692
-10.58430096 -10.85092114 24.42861654
-10.5847549 -10.84951223 24.43064511
-10.5852056 -10.84809984 24.43267262
-10.58565306 -10.84668396 24.43469908
-10.58609728 -10.8452646 24.43672448
-10.58653826 -10.84384176 24.43874882
-10.58697599 -10.84241545 24.44077209
-10.58741049 -10.84098565 24.4427943
-10.58784175 -10.83955239 24.44481543
-10.58826977 -10.83811564 24.4468355
-10.58869455 -10.83667543 24.44885448
-10.58911609 -10.83523174 24.45087238
-10.5895344 -10.83378459 24.4528892
-10.58994946 -10.83233396 24.45490494
-10.59036129 -10.83087987 24.45691959
-10.59076989 -10.82942232 24.45893314
-10.59117525 -10.8279613 24.4609456
-10.59157737 -10.82649682 24.46295696
-10.59197626 -10.82502888 24.46496722
-10.59237192 -10.82355749 24.46697638
-10.59276434 -10.82208263 24.46898443
-10.59315353 -10.82060432 24.47099137
-10.59353949 -10.81912256 24.4729972
-10.59392221 -10.81763734 24.47500191
-10.5943017 -10.81614867 24.4770055
-10.59467796 -10.81465656 24.47900798
-10.59505099 -10.81316099 24.48100932
-10.59542079 -10.81166198 24.48300954
-10.59578736 -10.81015953 24.48500863
-10.59615071 -10.80865363 24.48700659
-10.59651082 -10.80714429 24.48900341
-10.5968677 -10.80563151 24.49099909
-10.59722136 -10.80411529 24.49299363
-10.59757179 -10.80259563 24.49498703
-10.59791899 -10.80107254 24.49697927
-10.59826296 -10.79954602 24.49897037
-10.59860371 -10.79801606 24.50096031
-10.59894124 -10.79648267 24.50294909
-10.59927554 -10.79494586 24.50493672
-10.59960662 -10.79340561 24.50692318
-10.59993447 -10.79186194 24.50890848
-10.6002591 -10.79031485 24.51089261
-10.6005805 -10.78876433 24.51287557
-10.60089869 -10.78721039 24.51485735
-10.60121365 -10.78565304 24.51683796
-10.60152539 -10.78409226 24.51881738
-10.60183391 -10.78252807 24.52079563
-10.60213921 -10.78096047 24.52277268
-10.60244129 -10.77938945 24.52474855
-10.60274015 -10.77781502 24.52672323
-10.60303579 -10.77623718 24.52869672
-10.60332822 -10.77465593 24.530669
-10.60361742 -10.77307128 24.53264009
-10.60390341 -10.77148322 24.53460998
-10.60418619 -10.76989175 24.53657865
-10.60446574 -10.76829689 24.53854613
